group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
gkr_msm_simple,"case::(5, 14)",,,,7165680112.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7208322939.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7192775033.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7106685589.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7212665916.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7256225432.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7209538065.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7234130622.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7201034123.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7241035629.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7270062536.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7205218877.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7084801638.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7061670755.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7163452733.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7204924576.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7100491651.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7152793387.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7229935948.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7238557562.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7176847611.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7087250315.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7271322744.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7182361738.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7156688546.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7138461079.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7180290524.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7121158581.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7271779380.0,ns,1
gkr_msm_simple,"case::(5, 14)",,,,7200232863.0,ns,1
